Year;Square;Number;SpitNum;SpitID;Assemblage;X;Y;Z;Code;Orientation;Dip
2012;J50;16;9;J50B_09;INF;99.837;99.845;-0.916;FAUNA;;
2012;J50;18;9;J50B_09;INF;99.767;99.571;-0.972;FAUNA;;
2012;J50;19;9;J50D_09;INF;99.83;99.269;-0.994;FAUNA;;
2012;J50;20;9;J50D_09;INF;99.887;99.216;-0.974;FAUNA;;
2013;J52;439;14;J52A_14;INF;99.467;101.828;-0.89;FAUNA;;
2013;J52;440;14;J52B_14;INF;99.504;101.773;-0.894;FAUNA;222;19
2013;J52;442;15;J52B_15;INF;99.671;101.604;-0.893;SILEX;;
2013;J52;443;15;J52B_15;INF;99.8;101.765;-0.888;COPRO;;
2013;J52;444;15;J52B_15;INF;99.544;101.86;-0.883;FAUNA;;
2013;J52;445;14;J52B_14;INF;99.95;101.523;-0.903;FAUNA;;
2013;J52;446;15;J52B_15;INF;99.572;101.619;-0.905;FAUNA;;
2013;J52;447;15;J52B_15;INF;99.699;101.683;-0.886;FAUNA;;
2013;J52;448;15;J52B_15;INF;99.697;101.758;-0.896;FAUNA;;
2013;J52;449;15;J52B_15;INF;99.697;101.907;-0.886;FAUNA;;
2013;J52;450;15;J52B_15;INF;99.66;101.989;-0.863;FAUNA;;
2013;J52;451;15;J52B_15;INF;99.894;101.754;-0.89;FAUNA;;
2013;J52;452;15;J52B_15;INF;99.811;101.568;-0.936;FAUNA;;
2013;J52;453;15;J52B_15;INF;99.831;101.733;-0.932;FAUNA;;
2013;J52;454;15;J52B_15;INF;99.674;101.524;-0.934;COPRO;;
2013;J52;455;15;J52B_15;INF;99.632;101.663;-0.935;FAUNA;;
2013;J52;456;15;J52B_15;INF;99.661;101.879;-0.939;FAUNA;;
2013;J52;457;15;J52B_15;INF;99.518;101.715;-0.928;FAUNA;;
2013;J52;464;14;J52B_14;INF;99.527;101.509;-0.909;FAUNA;;
2013;J52;467;15;J52C_15;INF;99.407;101.147;-0.944;FAUNA;;
2013;J52;468;15;J52B_15;INF;99.568;101.891;-0.932;FAUNA;;
2013;J52;469;15;J52B_15;INF;99.935;101.93;-0.936;FAUNA;;
2013;J52;470;15;J52D_15;INF;99.552;101.445;-0.971;FAUNA;;
2013;J52;471;15;J52C_15;INF;99.355;101.203;-0.996;COPRO;;
2013;J52;472;15;J52B_15;INF;99.875;101.875;-0.946;FAUNA;;
2013;J52;473;15;J52B_15;INF;99.901;101.688;-0.946;FAUNA;;
2013;J52;475;15;J52C_15;INF;99.432;101.46;-0.971;FAUNA;;
2013;J52;476;15;J52B_15;INF;99.862;101.869;-0.95;FAUNA;;
2013;J52;477;15;J52B_15;INF;99.873;101.868;-0.948;FAUNA;125;10
2013;J52;478;15;J52B_15;INF;99.879;101.854;-0.95;COPRO;;
2013;J52;479;15;J52C_15;INF;99.253;101.114;-0.989;FAUNA;204;13
2013;J52;480;15;J52B_15;INF;99.576;101.667;-0.969;COPRO;;
2013;J52;481;15;J52B_15;INF;99.755;101.816;-0.964;FAUNA;;
2013;J52;482;15;J52B_15;INF;99.755;101.869;-0.973;FAUNA;;
2013;J52;483;15;J52B_15;INF;99.838;101.879;-0.962;FAUNA;;
2013;J52;484;15;J52B_15;INF;99.803;101.609;-0.968;FAUNA;;
2013;J52;485;15;J52C_15;INF;100.047;101.386;-0.904;FAUNA;;
2013;J52;488;15;J52D_15;INF;99.835;101.394;-0.947;FAUNA;;
2013;J52;489;15;J52C_15;INF;100.001;101.252;-0.923;FAUNA;;
2013;J52;490;15;J52A_15;INF;99.174;101.897;-0.923;FAUNA;;
2013;J52;491;15;J52A_15;INF;99.178;101.856;-0.925;FAUNA;;
2013;J52;492;15;J52B_15;INF;99.501;101.701;-0.962;FAUNA;;
2013;J52;493;15;J52A_15;INF;99.401;101.532;-0.918;COPRO;;
2013;J52;494;15;J52C_15;INF;100.032;101.12;-0.904;SILEX;;
2013;J52;495;15;J52A_15;INF;99.396;101.786;-0.983;FAUNA;;
2013;J52;496;15;J52A_15;INF;99.47;101.626;-0.975;FAUNA;;
2013;J52;497;15;J52C_15;INF;99.481;101.471;-0.975;FAUNA;;
2013;J52;498;15;J52C_15;INF;99.44;101.482;-0.975;FAUNA;;
2013;J52;499;15;J52A_15;INF;99.353;101.798;-0.989;FAUNA;;
2013;J52;500;15;J52A_15;INF;99.383;101.859;-0.987;FAUNA;;
2013;J52;501;16;J52B_16;INF;99.663;101.53;-1.001;FAUNA;;
2013;J52;502;16;J52B_16;INF;99.807;101.513;-0.958;FAUNA;;
2013;J52;503;16;J52C_16;INF;99.388;101.32;-1.018;COPRO;;
2013;J52;504;16;J52D_16;INF;99.535;101.329;-1.009;FAUNA;;
2013;J52;505;16;J52D_16;INF;99.574;101.395;-1.007;FAUNA;;
2013;J52;506;16;J52B_16;INF;99.534;101.91;-1.004;COPRO;;
2013;J52;507;16;J52B_16;INF;99.548;101.864;-0.991;COPRO;;
2013;J52;508;16;J52B_16;INF;99.586;101.696;-0.995;FAUNA;;
2013;J52;509;16;J52B_16;INF;99.665;101.793;-1.011;FAUNA;;
2013;J52;510;16;J52B_16;INF;99.679;101.718;-1.003;FAUNA;;
2013;J52;511;16;J52B_16;INF;99.709;101.68;-1.009;FAUNA;;
2013;J52;512;16;J52B_16;INF;99.712;101.625;-0.984;COPRO;;
2013;J52;513;16;J52B_16;INF;99.812;101.891;-0.98;FAUNA;;
2013;J52;514;16;J52B_16;INF;99.84;101.831;-1.011;COPRO;;
2013;J52;515;16;J52B_16;INF;99.907;101.819;-0.968;FAUNA;;
2013;J52;516;16;J52B_16;INF;99.877;101.651;-0.978;COPRO;;
2013;J52;517;16;J52D_16;INF;99.967;101.059;-0.948;FAUNA;;
2013;J52;518;16;J52D_16;INF;99.828;101.319;-0.977;FAUNA;;
2013;J52;519;16;J52B_16;INF;99.571;101.849;-1.037;FAUNA;;
2013;J52;521;16;J52D_16;INF;99.637;101.476;-1.014;FAUNA;;
2013;J52;522;16;J52B_16;INF;99.723;101.565;-1.021;FAUNA;;
2013;J52;524;16;J52B_16;INF;99.896;101.587;-0.993;FAUNA;;
2013;J52;525;16;J52B_16;INF;99.935;101.575;-0.997;FAUNA;;
2013;J52;526;16;J52D_16;INF;99.809;101.342;-0.994;COPRO;;
2013;J52;527;16;J52D_16;INF;99.611;101.127;-1.027;FAUNA;;
2013;J52;528;16;J52D_16;INF;99.602;101.129;-1.023;FAUNA;;
2013;J52;529;16;J52D_16;INF;99.97;101.363;-1.002;COPRO;;
2013;J52;530;16;J52D_16;INF;99.822;101.099;-1.015;COPRO;;
2013;J52;531;16;J52D_16;INF;99.871;101.364;-1.029;FAUNA;;
2013;J52;532;16;J52B_16;INF;99.987;101.503;-0.999;FAUNA;;
2013;J52;533;16;J52B_16;INF;99.984;101.541;-0.979;COPRO;;
2013;J52;534;16;J52B_16;INF;99.942;101.598;-0.995;COPRO;;
2013;J52;536;16;J52B_16;INF;99.938;101.72;-0.984;FAUNA;;
2013;J52;537;16;J52B_16;INF;99.901;101.744;-1.016;FAUNA;;
2013;J52;538;16;J52B_16;INF;99.897;101.949;-0.989;FAUNA;;
2013;J52;539;16;J52B_16;INF;99.826;101.93;-0.995;FAUNA;;
2013;J52;540;16;J52B_16;INF;99.832;101.744;-1.024;FAUNA;;
2013;J52;542;16;J52C_16;INF;100.017;101.152;-1.017;FAUNA;;
2013;J52;543;16;J52D_16;INF;99.942;101.394;-1.019;FAUNA;;
2013;J52;544;16;J52D_16;INF;99.918;101.437;-1.004;FAUNA;;
2013;J52;545;16;J52B_16;INF;99.859;101.902;-0.973;FAUNA;;
2013;J52;546;16;J52B_16;INF;99.93;101.763;-1.011;FAUNA;;
2013;J52;547;16;J52A_16;INF;100.004;101.553;-0.996;COPRO;;
2013;J52;548;16;J52B_16;INF;99.977;101.54;-1.001;FAUNA;;
2013;J52;549;16;J52B_16;INF;99.537;101.91;-1.02;FAUNA;;
2013;J52;550;16;J52A_16;INF;99.491;101.813;-1.01;FAUNA;;
2013;J52;551;16;J52D_16;INF;99.684;101.482;-1.012;FAUNA;;
2013;J52;554;16;J52A_16;INF;99.329;101.562;-1.035;FAUNA;;
2013;J52;555;16;J52A_16;INF;99.374;101.646;-1;COPRO;;
2013;J52;557;16;J52A_16;INF;99.482;101.728;-0.996;FAUNA;;
2013;J52;558;16;J52A_16;INF;99.492;101.635;-1.007;FAUNA;;
2013;J52;559;16;J52B_16;INF;99.512;101.587;-0.999;FAUNA;;
2013;J52;560;16;J52A_16;INF;99.417;101.718;-1.009;FAUNA;;
2013;J52;561;16;J52A_16;INF;99.451;101.588;-1.011;FAUNA;;
2013;J52;562;16;J52D_16;INF;99.883;101.434;-1.035;COPRO;;
2013;J52;563;16;J52A_16;INF;99.453;101.712;-1.028;FAUNA;;
2013;J52;564;17;J52C_17;INF;99.387;101.336;-1.034;COPRO;;
2013;J52;565;17;J52C_17;INF;99.271;101.256;-1.054;COPRO;;
2013;J52;566;17;J52C_17;INF;99.242;101.171;-1.051;COPRO;;
2013;J52;567;17;J52C_17;INF;99.444;101.089;-1.041;FAUNA;;
2013;J52;568;17;J52A_17;INF;99.165;101.828;-1.047;FAUNA;;
2013;J52;569;17;J52A_17;INF;99.197;101.57;-1.026;FAUNA;;
2013;J52;570;17;J52C_17;INF;99.207;101.473;-1.046;COPRO;;
2013;J52;571;17;J52A_17;INF;99.266;101.606;-1.032;FAUNA;;
2013;J52;572;17;J52A_17;INF;99.29;101.698;-1.028;COPRO;;
2013;J52;573;17;J52A_17;INF;99.312;101.708;-1.036;FAUNA;;
